Catalogue Entry,Familiar Name,Alternative Entries,Type,Constellation,Right Ascension,Declination,Magnitude,Size,Surface Brightness,Rise time over 10º,Transit Time,Set time below 10º,Maximum Elevation
M 65,,"NGC 3623, Arp 317, CGCG 67-54, IRAS 11163+1322, MCG 2-29-18, PGC 34612, UGC 6328, V V 308",Galaxy,Leo,"11h 18' 56""","13º 05' 27""",9.30,9.8' x 2.9',21.56,11:13pm,3:46am,8:18am,43º
M 66,,"NGC 3627, ARAK 288, Arp 16, Arp 317, CGCG 67-57, MCG 2-29-19, PGC 34695, UGC 6346, V V 308",Galaxy,Leo,"11h 20' 15""","12º 59' 24""",8.90,9.1' x 4.1',21.46,11:14pm,3:47am,8:20am,43º
M 98,,"NGC 4192, CGCG 98-108, IRAS 12112+1510, MCG 3-31-79, PGC 39028, UGC 7231, VCC 92",Galaxy,Coma Berenices,"12h 13' 48""","14º 53' 58""",10.10,9.8' x 2.8',22.32,0:14am,4:40am,9:07am,41º
M 99,,"NGC 4254, CGCG 98-144, CGCG 99-11, IRAS 12162+1441, MCG 3-31-99, PGC 39578, UGC 7345, VCC 307",Galaxy,Coma Berenices,"12h 18' 49""","14º 25' 03""",9.90,5.3' x 4.6',22.00,0:17am,4:45am,9:14am,42º
M 61,,"NGC 4303, CGCG 42-45, IRAS 12194+0444, MCG 1-32-22, PGC 40001, UGC 7420, VCC 508",Galaxy,Virgo,"12h 21' 55""","04º 28' 22""",9.70,6.5' x 5.9',22.29,11:50pm,4:48am,9:47am,52º
M 100,,"NGC 4321, CGCG 99-30, IRAS 12204+1605, KUG 1220+160, MCG 3-32-15, PGC 40153, UGC 7450, VCC 596",Galaxy,Coma Berenices,"12h 22' 55""","15º 49' 22""",9.40,7.5' x 6.1',22.18,0:26am,4:49am,9:13am,41º
M 84,,"NGC 4374, 3C 272.1, CGCG 70-58, IRAS 12224+1309, MCG 2-32-34, PGC 40455, UGC 7494, VCC 763",Galaxy,Virgo,"12h 25' 04""","12º 53' 13""",9.10,6.5' x 5.6',21.63,0:18am,4:51am,9:25am,43º
M 85,,"NGC 4382, CGCG 99-45, KCPG 334A, MCG 3-32-29, PGC 40515, UGC 7508, VCC 798",Galaxy,Coma Berenices,"12h 25' 24""","18º 11' 27""",9.10,7.1' x 5.5',21.71,0:36am,4:52am,9:07am,38º
M 86,,"NGC 4406, CGCG 70-72, MCG 2-32-46, PGC 40653, UGC 7532, VCC 881",Galaxy,Virgo,"12h 26' 12""","12º 56' 47""",8.90,8.9' x 5.8',21.81,0:19am,4:53am,9:26am,43º
M 49,,"NGC 4472, Arp 134, CGCG 42-134, MCG 1-32-83, PGC 41220, UGC 7629, VCC 1226",Galaxy,Virgo,"12h 29' 47""","08º 00' 00""",8.40,10.2' x 8.3',21.85,0:08am,4:56am,9:45am,48º
M 87,Virgo A,"NGC 4486, 3C 274, Arp 152, CGCG 70-139, IRAS 12282+1240, MCG 2-32-105, PGC 41361, UGC 7654, VCC 1316",Galaxy,Virgo,"12h 30' 49""","12º 23' 26""",8.60,8.3' x 6.6',21.58,0:22am,4:57am,9:32am,44º
M 88,,"NGC 4501, CGCG 99-76, MCG 3-32-59, PGC 41517, UGC 7675, VCC 1401",Galaxy,Coma Berenices,"12h 31' 59""","14º 25' 11""",9.60,6.8' x 3.7',21.73,0:30am,4:58am,9:27am,42º
M 91,,"NGC 4548, CGCG 99-96, IRAS 12328+1446, MCG 3-32-75, PGC 41934, UGC 7753, VCC 1615",Galaxy,Coma Berenices,"12h 35' 26""","14º 29' 47""",10.20,5.2' x 4.2',22.18,0:34am,5:02am,9:30am,42º
M 89,,"NGC 4552, CGCG 70-184, MCG 2-32-149, PGC 41968, UGC 7760, VCC 1632",Galaxy,Virgo,"12h 35' 40""","12º 33' 22""",9.80,3.5' x 3.5',21.15,0:28am,5:02am,9:36am,44º
M 90,,"NGC 4569, Arp 76, CGCG 70-192, IRAS 12343+1326, MCG 2-32-155, PGC 42089, UGC 7786, VCC 1690",Galaxy,Virgo,"12h 36' 50""","13º 09' 50""",9.50,9.5' x 4.4',22.18,0:31am,5:03am,9:36am,43º
M 58,,"NGC 4579, CGCG 70-197, IRAS 12351+1205, MCG 2-32-160, PGC 42168, UGC 7796, VCC 1727",Galaxy,Virgo,"12h 37' 44""","11º 49' 06""",9.70,6' x 4.8',21.98,0:27am,5:04am,9:41am,45º
M 68,,"NGC 4590, ESO 506-SC30, GCL 20",Globular cluster,Hydra,"12h 39' 28""","-26º 44' 32""",7.30,11',21.14,10:44pm,5:06am,11:28am,83º
M 104,Sombrero Galaxy,"NGC 4594, IRAS 12373-1120, MCG -2-32-20, PGC 42407, UGCA 293",Galaxy,Virgo,"12h 39' 59""","-11º 37' 21""",8.00,8.6' x 4.2',20.52,11:25pm,5:06am,10:48am,68º
M 59,,"NGC 4621, CGCG 70-223, MCG 2-32-183, PGC 42628, UGC 7858, VCC 1903",Galaxy,Virgo,"12h 42' 02""","11º 38' 50""",9.60,5.4' x 3.7',21.48,0:31am,5:08am,9:46am,45º
M 60,,"NGC 4649, Arp 116, CGCG 71-16, KCPG 353B, MCG 2-33-2, PGC 42831, UGC 7898, V V 206, VCC 1978",Galaxy,Virgo,"12h 43' 40""","11º 33' 11""",8.80,7.6' x 6.2',21.61,0:32am,5:10am,9:48am,45º
M 64,Black Eye Galaxy,"NGC 4826, CGCG 130-1, IRAS 12542+2157, KARA 559, MCG 4-31-1, PGC 44182, UGC 8062",Galaxy,Coma Berenices,"12h 56' 44""","21º 40' 59""",8.50,10' x 5.4',21.46,1:21am,5:23am,9:25am,35º
M 53,,"NGC 5024, GCL 22",Globular cluster,Coma Berenices,"13h 12' 55""","18º 10' 11""",7.70,13',21.90,1:24am,5:39am,9:55am,38º
